time [s],Lmtc [m],STIM [ ],Fsee [N]
0.0,0.035,0.0,0.04919419513806937
0.0005,0.035,0.0,0.04919419513807165
0.001,0.035,0.0,0.04919419513807393
0.0015,0.035,0.0,0.04919419513807393
0.002,0.035,0.0,0.04919419513807393
0.0025,0.035,0.0,0.049194195138076206
0.003,0.035,0.0,0.04919419513807848
0.0035,0.035,0.0,0.04919419513807848
0.004,0.035,0.0,0.04919419513807848
0.0045,0.035,0.0,0.04919419513807848
0.005,0.035,0.0,0.04919419513807848
0.0055,0.035,0.0,0.04919419513808076
0.006,0.035,0.0,0.049194195138083034
0.0065,0.035,0.0,0.049194195138083034
0.007,0.035,0.0,0.049194195138083034
0.0075,0.035,0.0,0.049194195138083034
0.008,0.035,0.0,0.04919419513808532
0.0085,0.035,0.0,0.04919419513808532
0.009,0.035,0.0,0.049194195138087586
0.0095,0.035,0.0,0.049194195138087586
0.01,0.035,0.0,0.049194195138087586
0.0105,0.035,0.0,0.049194195138087586
0.011,0.035,0.0,0.04919419513808986
0.0115,0.035,0.0,0.04919419513808986
0.012,0.035,0.0,0.049194195138092145
0.0125,0.035,0.0,0.049194195138092145
0.013,0.035,0.0,0.049194195138092145
0.0135,0.035,0.0,0.049194195138092145
0.014,0.035,0.0,0.049194195138092145
0.0145,0.035,0.0,0.049194195138096704
0.015,0.035,0.0,0.049194195138096704
0.0155,0.035,0.0,0.049194195138096704
0.016,0.035,0.0,0.049194195138096704
0.0165,0.035,0.0,0.049194195138096704
0.017,0.035,0.0,0.049194195138096704
0.0175,0.035,0.0,0.049194195138096704
0.018,0.035,0.0,0.049194195138096704
0.0185,0.035,0.0,0.049194195138096704
0.019,0.035,0.0,0.049194195138096704
0.0195,0.035,0.0,0.04919419513809897
0.02,0.035,0.0,0.04919419513809897
0.0205,0.035,0.0,0.04919419513809897
0.021,0.035,0.0,0.04919419513810125
0.0215,0.035,0.0,0.04919419513810125
0.022,0.035,0.0,0.04919419513810125
0.0225,0.035,0.0,0.04919419513810125
0.023,0.035,0.0,0.04919419513810125
0.0235,0.035,0.0,0.04919419513810125
0.024,0.035,0.0,0.04919419513810125
0.0245,0.035,0.0,0.04919419513810125
0.025,0.035,0.0,0.04919419513810353
0.0255,0.035,0.0,0.04919419513810353
0.026,0.035,0.0,0.04919419513810353
0.0265,0.035,0.0,0.04919419513810353
0.027,0.035,0.0,0.04919419513810581
0.0275,0.035,0.0,0.04919419513810581
0.028,0.035,0.0,0.04919419513810581
0.0285,0.035,0.0,0.04919419513810581
0.029,0.035,0.0,0.04919419513810581
0.0295,0.035,0.0,0.04919419513810581
0.03,0.035,0.0,0.04919419513810581
0.0305,0.035,0.0,0.04919419513810581
0.031,0.035,0.0,0.049194195138108084
0.0315,0.035,0.0,0.049194195138108084
0.032,0.035,0.0,0.049194195138108084
0.0325,0.035,0.0,0.049194195138108084
0.033,0.035,0.0,0.04919419513811036
0.0335,0.035,0.0,0.04919419513811036
0.034,0.035,0.0,0.04919419513811036
0.0345,0.035,0.0,0.04919419513811036
0.035,0.035,0.0,0.04919419513811036
0.0355,0.035,0.0,0.04919419513811036
0.036,0.035,0.0,0.04919419513811036
0.0365,0.035,0.0,0.04919419513811036
0.037,0.035,0.0,0.049194195138112636
0.0375,0.035,0.0,0.049194195138112636
